id,name,type,attribute,race,level,attack_points,defense_points,cost,rarity,description,image
488,Rainbow Flower,Effect Monster,EARTH,Plant,2,400,500,2,Common,This monster may attack your opponent's Life Points directly.,https://images.ygoprodeck.com/images/cards/21347810.jpg
489,Barrel Lily,Normal Monster,EARTH,Plant,3,1100,600,3,Common,''This wicked flower attacks enemies with pollen projectiles.'',https://images.ygoprodeck.com/images/cards/67841515.jpg
490,Needle Ball,Flip Effect Monster,DARK,Fiend,2,750,700,2,Common,FLIP: You can pay 2000 Life Points to inflict 1000 damage to your opponent.,https://images.ygoprodeck.com/images/cards/94230224.jpg
491,Peacock,Normal Monster,WIND,Winged Beast,5,1700,1500,5,Common,A large peacock that launches its feathers in a lethal attack.,https://images.ygoprodeck.com/images/cards/20624263.jpg
492,Hoshiningen,Effect Monster,LIGHT,Fairy,2,500,700,2,Common,"All LIGHT monsters on the field gain 500 ATK, also all DARK monsters on the field lose 400 ATK.",https://images.ygoprodeck.com/images/cards/67629977.jpg
493,Maha Vailo,Effect Monster,LIGHT,Spellcaster,4,1550,1400,4,Common,This card gains 500 ATK for each Equip Card equipped to this card.,https://images.ygoprodeck.com/images/cards/93013676.jpg
494,Rainbow Marine Mermaid,Normal Monster,WATER,Fish,5,1550,1700,5,Common,''A reticent mermaid who appears only on very rare occasions. She emerges only when a large rainbow arches across the sky.'',https://images.ygoprodeck.com/images/cards/29402771.jpg
495,Musician King,Fusion Monster,LIGHT,Spellcaster,5,1750,1500,5,Common,"""Witch of the Black Forest"" + ""Lady of Faith""",https://images.ygoprodeck.com/images/cards/56907389.jpg
496,Wilmee,Normal Monster,EARTH,Beast,4,1000,1200,4,Common,A rabid rabbit that shears through opposition with its sharp skewers.,https://images.ygoprodeck.com/images/cards/92391084.jpg
497,Yado Karu,Effect Monster,WATER,Aqua,4,900,1700,4,Common,"When this card is changed from Attack Position to Defense Position, you can place any number of cards from your hand at the bottom of your Deck in any order you desire.",https://images.ygoprodeck.com/images/cards/29380133.jpg
498,Morinphen,Normal Monster,DARK,Fiend,5,1550,1300,5,Common,A strange fiend with long arms and razor-sharp talons.,https://images.ygoprodeck.com/images/cards/55784832.jpg
499,Kattapillar,Normal Monster,EARTH,Insect,1,250,300,1,Common,"''Attacks enemies by spitting thin, sticky webs.''",https://images.ygoprodeck.com/images/cards/81179446.jpg
500,Dragon Seeker,Effect Monster,DARK,Fiend,6,2000,2100,6,Common,"When this card is Normal Summoned or Flip Summoned, destroy 1 face-up Dragon-Type monster on the field.",https://images.ygoprodeck.com/images/cards/28563545.jpg
501,Man-Eater Bug,Flip Effect Monster,EARTH,Insect,2,450,600,2,Common,FLIP: Target 1 monster on the field; destroy it.,https://images.ygoprodeck.com/images/cards/54652250.jpg
502,D. Human,Normal Monster,EARTH,Warrior,4,1300,1100,4,Common,"Gifted with the power of dragons, this warrior wields a sword created from a dragon's fang.",https://images.ygoprodeck.com/images/cards/81057959.jpg
503,Turtle Raccoon,Normal Monster,WATER,Aqua,3,700,900,3,Common,"''A cunning raccoon protected by a solid turtle shell, it attacks with deception.''",https://images.ygoprodeck.com/images/cards/17441953.jpg
504,Fungi of the Musk,Normal Monster,DARK,Fiend,1,400,300,1,Common,''Melts away anything that dares to stand before it.'',https://images.ygoprodeck.com/images/cards/53830602.jpg
505,Prisman,Normal Monster,LIGHT,Rock,3,800,1000,3,Common,This crystalline monster focuses light to create a lethal laser.,https://images.ygoprodeck.com/images/cards/80234301.jpg
506,Gale Dogra,Effect Monster,EARTH,Insect,2,650,600,2,Common,You can pay 3000 Life Points to send 1 monster from your Extra Deck to the Graveyard.,https://images.ygoprodeck.com/images/cards/16229315.jpg
507,Crazy Fish,Normal Monster,WATER,Fish,4,1600,1200,4,Common,A flying fish that attacks with its pointed head.,https://images.ygoprodeck.com/images/cards/53713014.jpg
508,Cyber Saurus,Fusion Monster,EARTH,Machine,5,1800,1400,5,Common,"""Blast Juggler"" + ""Two-Headed King Rex""",https://images.ygoprodeck.com/images/cards/89112729.jpg
509,Bracchio-raidus,Fusion Monster,WATER,Dinosaur,6,2200,2000,6,Common,"""Two-Headed King Rex"" + ""Crawling Dragon #2""",https://images.ygoprodeck.com/images/cards/16507828.jpg
510,Laughing Flower,Normal Monster,EARTH,Plant,2,900,500,2,Common,''A flower whose laugh can confuse the minds of enemies.'',https://images.ygoprodeck.com/images/cards/42591472.jpg
511,Bean Soldier,Normal Monster,EARTH,Plant,4,1400,1300,4,Common,A plant-warrior that attacks with seeds and sword.,https://images.ygoprodeck.com/images/cards/84990171.jpg
512,Cannon Soldier,Effect Monster,DARK,Machine,4,1400,1300,4,Common,You can Tribute 1 monster; inflict 500 damage to your opponent.,https://images.ygoprodeck.com/images/cards/11384280.jpg
513,Guardian of the Throne Room,Normal Monster,LIGHT,Machine,4,1650,1600,4,Common,"A robot guard built to protect throne rooms, it is armed with homing missiles.",https://images.ygoprodeck.com/images/cards/47879985.jpg
514,Brave Scizzar,Normal Monster,DARK,Machine,4,1300,1000,4,Common,"Armed with a mass of scissors, this monster can clip an enemy into any desired shape and size.",https://images.ygoprodeck.com/images/cards/74277583.jpg
515,The Statue of Easter Island,Normal Monster,EARTH,Rock,4,1100,1400,4,Common,A stone monument from Easter Island that launches laser blasts from its rock-hewn lips.,https://images.ygoprodeck.com/images/cards/10262698.jpg
516,Muka Muka,Effect Monster,EARTH,Rock,2,600,300,2,Common,This card gains 300 ATK and DEF for each card in your hand.,https://images.ygoprodeck.com/images/cards/46657337.jpg
517,Sand Stone,Normal Monster,EARTH,Rock,5,1300,1600,5,Common,"Appears from underground and attacks with long, snake-like tentacles.",https://images.ygoprodeck.com/images/cards/73051941.jpg
518,Boulder Tortoise,Normal Monster,WATER,Aqua,6,1450,2200,6,Common,''A stone turtle that is nearly indestructible.'',https://images.ygoprodeck.com/images/cards/9540040.jpg
519,Fire Kraken,Normal Monster,FIRE,Aqua,4,1600,1500,4,Common,A squid that thrives on fire and heat.,https://images.ygoprodeck.com/images/cards/46534755.jpg
520,Turtle Bird,Normal Monster,WATER,Aqua,6,1900,1700,6,Common,"An unusual turtle that not only swims at tremendous speeds, but can also sail across the skies.",https://images.ygoprodeck.com/images/cards/72929454.jpg
521,Skullbird,Fusion Monster,WIND,Winged Beast,6,1900,1700,6,Common,"""Takuhee"" + ""Temple of Skulls""",https://images.ygoprodeck.com/images/cards/8327462.jpg
522,Monstrous Bird,Normal Monster,WIND,Winged Beast,6,2000,1900,6,Common,''Few have set eyes on this dive-bombing bird and lived to tell the tale.'',https://images.ygoprodeck.com/images/cards/35712107.jpg
523,The Bistro Butcher,Effect Monster,DARK,Fiend,4,1800,1000,4,Common,"When this card inflicts Battle Damage to your opponent, your opponent draws 2 cards.",https://images.ygoprodeck.com/images/cards/71107816.jpg
524,Star Boy,Effect Monster,WATER,Aqua,2,550,500,2,Common,"As long as this card remains face-up on the field, increase the ATK of all WATER monsters by 500 points and decrease the ATK of all FIRE monsters by 400 points.",https://images.ygoprodeck.com/images/cards/8201910.jpg
525,Spirit of the Mountain,Normal Monster,EARTH,Spellcaster,5,1300,1800,5,Common,''An elderly magician that raises mountains with his flute.'',https://images.ygoprodeck.com/images/cards/34690519.jpg
526,Neck Hunter,Normal Monster,DARK,Fiend,6,1750,1900,6,Common,A fiend that wields a mean sickle and fires devastating beams from its eyes.,https://images.ygoprodeck.com/images/cards/70084224.jpg
527,Milus Radiant,Effect Monster,EARTH,Beast,1,300,250,1,Common,"As long as this card remains face-up on the field, increase the ATK of all EARTH monsters by 500 points and decrease the ATK of all WIND monsters by 400 points.",https://images.ygoprodeck.com/images/cards/7489323.jpg
528,Togex,Normal Monster,EARTH,Beast,5,1600,1800,5,Common,''An agile monster that rolls up to ram its opponents.'',https://images.ygoprodeck.com/images/cards/33878931.jpg
529,Flame Cerebrus,Normal Monster,FIRE,Pyro,6,2100,1800,6,Common,"Known to many as the ""Burning Executioner"", this monster is capable of burning enemies to cinders.",https://images.ygoprodeck.com/images/cards/60862676.jpg
530,Eldeen,Normal Monster,LIGHT,Spellcaster,3,950,1000,3,Common,''The cane of this monster is the source of many powerful spells.'',https://images.ygoprodeck.com/images/cards/6367785.jpg
531,Mystical Sand,Fusion Monster,EARTH,Rock,6,2100,1700,6,Common,"""Giant Soldier of Stone"" + ""Ancient Elf""",https://images.ygoprodeck.com/images/cards/32751480.jpg
532,Gemini Elf,Normal Monster,EARTH,Spellcaster,4,1900,900,4,Common,Elf twins that alternate their attacks.,https://images.ygoprodeck.com/images/cards/69140098.jpg
533,Kwagar Hercules,Fusion Monster,EARTH,Insect,6,1900,1700,6,Common,"""Kuwagata α"" + ""Hercules Beetle""",https://images.ygoprodeck.com/images/cards/95144193.jpg
534,Minar,Effect Monster,EARTH,Insect,3,850,750,3,Common,"When this card is discarded directly from your hand to the Graveyard by an effect of a card controlled by your opponent, inflict 1000 points of damage to your opponent's Life Points.",https://images.ygoprodeck.com/images/cards/32539892.jpg
535,Kamakiriman,Normal Monster,EARTH,Insect,4,1150,1400,4,Common,''A man-shaped mantis with two razor-sharp scythes.'',https://images.ygoprodeck.com/images/cards/68928540.jpg
536,Mechaleon,Normal Monster,WATER,Reptile,2,800,600,2,Common,''This monster can hide just about anywhere by adopting the colors of its surroundings.'',https://images.ygoprodeck.com/images/cards/94412545.jpg
537,Mega Thunderball,Normal Monster,WIND,Thunder,2,750,600,2,Common,Rolls along the ground releasing bolts of electricity to attack its enemies.,https://images.ygoprodeck.com/images/cards/21817254.jpg
538,Niwatori,Normal Monster,EARTH,Winged Beast,3,900,800,3,Common,Swallows enemies whole and uses their essence as energy.,https://images.ygoprodeck.com/images/cards/7805359.jpg
539,Corroding Shark,Normal Monster,DARK,Zombie,3,1100,700,3,Common,A zombie shark that can deliver its lethal curse with a spell.,https://images.ygoprodeck.com/images/cards/34290067.jpg
540,Skelengel,Flip Effect Monster,LIGHT,Fairy,2,900,400,2,Common,FLIP: Draw 1 card.,https://images.ygoprodeck.com/images/cards/60694662.jpg
541,Hane-Hane,Flip Effect Monster,EARTH,Beast,2,450,500,2,Common,FLIP: Select 1 monster on the field and return it to its owner's hand.,https://images.ygoprodeck.com/images/cards/7089711.jpg
542,Misairuzame,Normal Monster,WATER,Fish,5,1400,1600,5,Common,A missile-launching fish protected by deadly spikes.,https://images.ygoprodeck.com/images/cards/33178416.jpg
543,Tongyo,Normal Monster,WATER,Fish,4,1350,800,4,Common,This monster captures other fish with its long tongue and sucks the energy out of them.,https://images.ygoprodeck.com/images/cards/69572024.jpg
544,Dharma Cannon,Normal Monster,DARK,Machine,2,900,500,2,Common,A monstrous creature whose body is lined with cannons that never miss their targets.,https://images.ygoprodeck.com/images/cards/96967123.jpg
545,Skelgon,Fusion Monster,DARK,Zombie,6,1700,1900,6,Common,"""The Snake Hair"" + ""Blackland Fire Dragon""",https://images.ygoprodeck.com/images/cards/32355828.jpg
546,Wow Warrior,Normal Monster,WATER,Fish,4,1250,900,4,Common,"A fish with arms, legs, and some very sharp teeth.",https://images.ygoprodeck.com/images/cards/69750536.jpg
547,Griggle,Effect Monster,EARTH,Plant,1,350,300,1,Common,"When the control of this face-up card on the field shifts to your opponent, increase your Life Points by 3000 points. This effect can only be used once as long as this card remains face-up on the field.",https://images.ygoprodeck.com/images/cards/95744531.jpg
548,Bone Mouse,Normal Monster,DARK,Zombie,1,400,300,1,Common,''A mouse that has returned as a zombie to seek revenge on cats.'',https://images.ygoprodeck.com/images/cards/21239280.jpg
549,Frog the Jam,Normal Monster,WATER,Aqua,2,700,500,2,Common,"A slime with the head of a frog, it attacks by croaking terribly.",https://images.ygoprodeck.com/images/cards/68638985.jpg
550,Behegon,Normal Monster,WATER,Aqua,4,1350,1000,4,Common,"With an enormous maw and massive teeth, this monstrosity is one dangerous and strange serpent from the deep.",https://images.ygoprodeck.com/images/cards/94022093.jpg
551,Dark Elf,Effect Monster,DARK,Spellcaster,4,2000,800,4,Common,This card requires a cost of 1000 of your own Life Points to attack.,https://images.ygoprodeck.com/images/cards/21417692.jpg
552,Winged Dragon Guardian of the Fortress #2,Normal Monster,WIND,Winged Beast,4,1200,1000,4,Common,This monster's wings are capable of generating tornadoes.,https://images.ygoprodeck.com/images/cards/57405307.jpg
553,Mushroom Man #2,Effect Monster,EARTH,Warrior,3,1250,800,3,Common,A player controlling this monster loses 300 Life Points during each of his/her Standby Phases when this card is face-up on the field. Control of this card is shifted to your opponent by paying 500 Life Points at your own End Phase.,https://images.ygoprodeck.com/images/cards/93900406.jpg
554,Lava Battleguard,Effect Monster,EARTH,Warrior,5,1550,1800,5,Common,"This card gains 500 ATK for each ""Swamp Battleguard"" you control.",https://images.ygoprodeck.com/images/cards/20394040.jpg
555,Tyhone #2,Normal Monster,FIRE,Dragon,6,1700,1900,6,Common,A crimson dragon that spits fireballs to create a blazing sea of fire.,https://images.ygoprodeck.com/images/cards/56789759.jpg
556,The Wandering Doomed,Normal Monster,DARK,Zombie,2,800,600,2,Common,''A monster that wanders the edges of the netherworld.'',https://images.ygoprodeck.com/images/cards/93788854.jpg
557,Steel Ogre Grotto #1,Normal Monster,EARTH,Machine,5,1400,1800,5,Common,A steel idol worshipped in the Land of Machines.,https://images.ygoprodeck.com/images/cards/29172562.jpg
558,Pot the Trick,Normal Monster,EARTH,Rock,2,400,400,2,Common,"''A not-so-powerful servant, he is an errand boy of a master sorcerer.''",https://images.ygoprodeck.com/images/cards/55567161.jpg
559,Oscillo Hero,Normal Monster,EARTH,Warrior,3,1250,700,3,Common,A strange warrior from another dimension.,https://images.ygoprodeck.com/images/cards/82065276.jpg
560,Invader from Another Dimension,Normal Monster,DARK,Fiend,4,950,1400,4,Common,An extraterrestrial monster that came from a distant galaxy.,https://images.ygoprodeck.com/images/cards/28450915.jpg
561,Lesser Dragon,Normal Monster,WIND,Dragon,4,1200,1000,4,Common,A minor dragon incapable of breathing fire.,https://images.ygoprodeck.com/images/cards/55444629.jpg
562,Needle Worm,Flip Effect Monster,EARTH,Insect,2,750,600,2,Common,FLIP: Send the top 5 cards of your opponent's Deck to the Graveyard.,https://images.ygoprodeck.com/images/cards/81843628.jpg
563,Wretched Ghost of the Attic,Normal Monster,DARK,Fiend,2,550,400,2,Common,A harmless monster found lurking in just about any attic.,https://images.ygoprodeck.com/images/cards/17238333.jpg
564,Great Mammoth of Goldfine,Fusion Monster,DARK,Zombie,6,2200,1800,6,Common,"""The Snake Hair"" + ""Dragon Zombie""",https://images.ygoprodeck.com/images/cards/54622031.jpg
565,Man-eating Black Shark,Fusion Monster,WATER,Fish,5,2100,1300,5,Common,"""Sea Kamen"" + ""Gruesome Goo"" + ""Amazon of the Seas""",https://images.ygoprodeck.com/images/cards/80727036.jpg
566,Yormungarde,Normal Monster,EARTH,Reptile,3,1200,900,3,Common,''An extremely long snake that dwells in the world of myth.'',https://images.ygoprodeck.com/images/cards/17115745.jpg
567,Darkworld Thorns,Normal Monster,EARTH,Plant,3,1200,900,3,Common,A thorny plant found in the darklands that wraps itself around any unwary traveler.,https://images.ygoprodeck.com/images/cards/43500484.jpg
568,Anthrosaurus,Normal Monster,EARTH,Dinosaur,3,1000,850,3,Common,"Dis man-like dinosawz gotta high I.Q., even tho he's lackin' in da strength depawtment. (Kinda like yooz, if ya had a high I.Q.! Nyaah!)",https://images.ygoprodeck.com/images/cards/89904598.jpg
569,Drooling Lizard,Normal Monster,EARTH,Reptile,3,900,800,3,Common,A blood-sucking snake in human form that attacks any living being that passes nearby.,https://images.ygoprodeck.com/images/cards/16353197.jpg
570,Trakadon,Normal Monster,DARK,Dragon,5,1200,1200,5,Common,,
571,B. Dragon Jungle King,Normal Monster,EARTH,Dragon,6,2100,1800,6,Common,''A jet-black dragon found in the deepest jungles who normally devours trees.'',https://images.ygoprodeck.com/images/cards/89832901.jpg
572,Empress Judge,Fusion Monster,EARTH,Warrior,6,2100,1700,6,Common,"""Queen's Double"" + ""Hibikime""",https://images.ygoprodeck.com/images/cards/15237615.jpg
573,Little D,Normal Monster,EARTH,Dinosaur,3,1100,700,3,Common,"Yo, this tyrannosaurus tot's got a terrible temper.",https://images.ygoprodeck.com/images/cards/42625254.jpg
574,Witch of the Black Forest,Effect Monster,DARK,Spellcaster,4,1100,1200,4,Common,"If this card is sent from the field to the GY: Add 1 monster with 1500 or less DEF from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Witch of the Black Forest"" once per turn.",https://images.ygoprodeck.com/images/cards/78010363.jpg
575,Ancient One of the Deep Forest,Normal Monster,EARTH,Beast,6,1800,1900,6,Common,"This creature adopts the form of a white goat living in the forest, but is actually a Forest Elder.",https://images.ygoprodeck.com/images/cards/14015067.jpg
576,Giant Scorpion of the Tundra,Normal Monster,EARTH,Insect,3,1100,1000,3,Common,"''An extraordinary blue scorpion found in the tundra, not in the desert.''",https://images.ygoprodeck.com/images/cards/41403766.jpg
577,Crow Goblin,Normal Monster,WIND,Winged Beast,5,1850,1600,5,Common,"''A clever long-nosed goblin, he is a force to be reckoned with.''",https://images.ygoprodeck.com/images/cards/77998771.jpg
578,Leo Wizard,Normal Monster,EARTH,Spellcaster,5,1350,1200,5,Common,''A wizard with a black mantle who is actually a talking lion in disguise.'',https://images.ygoprodeck.com/images/cards/4392470.jpg
579,Abyss Flower,Normal Monster,EARTH,Plant,2,750,400,2,Common,''A rarely seen flower that blossoms quietly on the edge of darkness.'',https://images.ygoprodeck.com/images/cards/40387124.jpg
580,Patrol Robo,Effect Monster,EARTH,Machine,3,1100,900,3,Common,"During your Standby Phase, you can look at 1 face-down card that's been Set by your opponent as long as this card remains face-up on the field.",https://images.ygoprodeck.com/images/cards/76775123.jpg
581,Takuhee,Normal Monster,WIND,Winged Beast,4,1450,1000,4,Common,This bird is known far and wide as a harbinger of doom.,https://images.ygoprodeck.com/images/cards/3170832.jpg
582,Dark Witch,Normal Monster,LIGHT,Fairy,5,1800,1700,5,Common,A popular creature in mythology that delivers fatal attacks with a sharp spear.,https://images.ygoprodeck.com/images/cards/35565537.jpg
583,Destiny Board,Trap Card,,Continuous,0,0,0,0,Common,"When this card and all 4 ""Spirit Message"" cards with different names are placed on your field, you win the Duel. Once per turn, during your opponent's End Phase: Place 1 ""Spirit Message"" card from your hand or Deck in your Spell & Trap Zone face-up, in the proper order of ""I"", ""N"", ""A"", and ""L"". When any ""Spirit Message"" card or ""Destiny Board"" you control leaves the field, send all ""Spirit Message"" cards and ""Destiny Board"" you control to the Graveyard.",https://images.ygoprodeck.com/images/cards/94212438.jpg
584,"Spirit Message ""I""",Spell Card,,Continuous,0,0,0,0,Common,"This card can only be placed on the field by the effect of ""Destiny Board"".",https://images.ygoprodeck.com/images/cards/31893528.jpg
585,"Spirit Message ""N""",Spell Card,,Continuous,0,0,0,0,Common,"This card can only be placed on the field by the effect of ""Destiny Board"".",https://images.ygoprodeck.com/images/cards/67287533.jpg
586,"Spirit Message ""A""",Spell Card,,Continuous,0,0,0,0,Common,"This card can only be placed on the field by the effect of ""Destiny Board"".",https://images.ygoprodeck.com/images/cards/94772232.jpg
587,"Spirit Message ""L""",Spell Card,,Continuous,0,0,0,0,Common,"This card can only be placed on the field by the effect of ""Destiny Board"".",https://images.ygoprodeck.com/images/cards/30170981.jpg
588,Living Vase,Normal Monster,EARTH,Plant,3,900,1100,3,Common,''A living vase that bites enemies and blinds them with a blast of pollen from its flower.'',https://images.ygoprodeck.com/images/cards/34320307.jpg
589,Tentacle Plant,Normal Monster,WATER,Plant,2,500,600,2,Common,''A carnivorous plant that has an outgrowth of tentacles. It attacks someone nearby by extending its tentacles.'',https://images.ygoprodeck.com/images/cards/60715406.jpg
590,Beaked Snake,Normal Monster,EARTH,Reptile,3,800,900,3,Common,''This monster wraps itself around an opponent and pecks away with its huge beak.'',https://images.ygoprodeck.com/images/cards/6103114.jpg
591,Morphing Jar,Flip Effect Monster,EARTH,Rock,2,700,600,2,Common,"FLIP: Both players discard as many cards as possible from their hands, then each player draws 5 cards.",https://images.ygoprodeck.com/images/cards/33508719.jpg
592,Muse-A,Normal Monster,LIGHT,Fairy,3,850,900,3,Common,''A fairy of the arts that is unbeatable on the harp.'',https://images.ygoprodeck.com/images/cards/69992868.jpg
593,Giant Turtle Who Feeds on Flames,Normal Monster,WATER,Aqua,5,1400,1800,5,Common,A crimson-shelled tortoise that feeds on flames.,https://images.ygoprodeck.com/images/cards/96981563.jpg
594,Rose Spectre of Dunn,Fusion Monster,DARK,Plant,6,2000,1800,6,Common,"""Feral Imp"" + ""Snakeyashi""",https://images.ygoprodeck.com/images/cards/32485271.jpg
595,Fiend Reflection #1,Normal Monster,WIND,Winged Beast,4,1300,1400,4,Common,This monster can draw its enemies into a mirror world that renders them helpless.,https://images.ygoprodeck.com/images/cards/68870276.jpg
596,Ghoul with an Appetite,Normal Monster,DARK,Zombie,4,1600,1200,4,Common,''A monster with a heavy appetite that has never been satisfied.'',https://images.ygoprodeck.com/images/cards/95265975.jpg
597,Pale Beast,Normal Monster,EARTH,Beast,4,1500,1200,4,Common,"With skin tinged a bluish-white, this strange creature is a fearsome sight to behold.",https://images.ygoprodeck.com/images/cards/21263083.jpg
598,Little Chimera,Effect Monster,FIRE,Beast,2,600,550,2,Common,All FIRE monsters on the field gain 500 ATK. All WATER monsters on the field lose 400 ATK.,https://images.ygoprodeck.com/images/cards/68658728.jpg
599,Violent Rain,Normal Monster,WATER,Aqua,4,1550,800,4,Common,This monster can call forth sudden torrents of battering rain.,https://images.ygoprodeck.com/images/cards/94042337.jpg
600,Key Mace #2,Normal Monster,DARK,Fiend,4,1050,1200,4,Common,This fiend brings out the worst in everyone.,https://images.ygoprodeck.com/images/cards/20541432.jpg
601,Tenderness,Normal Monster,LIGHT,Fairy,3,700,1400,3,Common,''An adorable fairy that celebrates the gift of love.'',https://images.ygoprodeck.com/images/cards/57935140.jpg
602,Penguin Soldier,Flip Effect Monster,WATER,Aqua,2,750,500,2,Common,FLIP: You can target up to 2 monsters on the field; return those targets to the hand.,https://images.ygoprodeck.com/images/cards/93920745.jpg
603,Fairy Dragon,Normal Monster,WIND,Dragon,4,1100,1200,4,Common,This beautiful Dragon spirit harbors hidden strength.,https://images.ygoprodeck.com/images/cards/20315854.jpg
604,Obese Marmot of Nefariousness,Normal Monster,EARTH,Beast,3,750,800,3,Common,An ill-mannered field varmint that will sink its teeth into anything.,https://images.ygoprodeck.com/images/cards/56713552.jpg
605,Liquid Beast,Normal Monster,WATER,Aqua,3,950,800,3,Common,A liquid life form that thrives on water.,https://images.ygoprodeck.com/images/cards/93108297.jpg
606,Twin Long Rods #2,Normal Monster,WATER,Aqua,3,850,700,3,Common,An amphibious creature with two whip-like tails.,https://images.ygoprodeck.com/images/cards/29692206.jpg
607,Great Bill,Normal Monster,EARTH,Beast,4,1250,1300,4,Common,Nothing escapes from this beast's massive mouth.,https://images.ygoprodeck.com/images/cards/55691901.jpg
608,Shining Friendship,Normal Monster,LIGHT,Fairy,4,1300,1100,4,Common,The peacemaker among monsters.,https://images.ygoprodeck.com/images/cards/82085619.jpg
609,Bladefly,Effect Monster,WIND,Insect,2,600,700,2,Common,"As long as this card remains face-up on the field, increase the ATK of all WIND monsters by 500 points and decrease the ATK of all EARTH monsters by 400 points.",https://images.ygoprodeck.com/images/cards/28470714.jpg
610,Electric Lizard,Effect Monster,EARTH,Thunder,3,850,800,3,Common,"A non Zombie-Type monster attacking ""Electric Lizard"" cannot attack on its following turn.",https://images.ygoprodeck.com/images/cards/55875323.jpg
611,Hiro's Shadow Scout,Flip Effect Monster,DARK,Fiend,2,650,500,2,Common,"FLIP: Your opponent draws 3 cards. Both players look at the cards. If there are any Spell Cards among them, discard all those Spell Card(s) to the Graveyard.",https://images.ygoprodeck.com/images/cards/81863068.jpg
612,Lady of Faith,Normal Monster,LIGHT,Spellcaster,3,1100,800,3,Common,Soothes the souls of others by chanting a mysterious spell.,https://images.ygoprodeck.com/images/cards/17358176.jpg
613,Twin-Headed Thunder Dragon,Fusion Monster,LIGHT,Thunder,7,2800,2100,7,Common,"""Thunder Dragon"" + ""Thunder Dragon""",https://images.ygoprodeck.com/images/cards/54752875.jpg
614,Hunter Spider,Normal Monster,EARTH,Insect,5,1600,1400,5,Common,This monster feeds on whatever it catches in its web.,https://images.ygoprodeck.com/images/cards/80141480.jpg
615,Armored Starfish,Normal Monster,WATER,Aqua,4,850,1400,4,Common,A bluish starfish with a solid hide capable of fending off attacks.,https://images.ygoprodeck.com/images/cards/17535588.jpg
616,Hourglass of Courage,Effect Monster,LIGHT,Fairy,4,1100,1200,4,Common,"If this card is Normal or Flip Summoned, its original ATK and DEF are halved until the End Phase of your next turn. After that, the original ATK and DEF are doubled.",https://images.ygoprodeck.com/images/cards/43530283.jpg
617,Marine Beast,Fusion Monster,WATER,Fish,5,1700,1600,5,Common,"""Water Magician"" + ""Behegon""",https://images.ygoprodeck.com/images/cards/29929832.jpg
618,Warrior of Tradition,Fusion Monster,EARTH,Warrior,6,1900,1700,6,Common,"""Sonic Maid"" + ""Beautiful Headhuntress""",https://images.ygoprodeck.com/images/cards/56413937.jpg
619,Rock Spirit,Normal Monster,EARTH,Spellcaster,5,1650,1900,5,Common,''A fairy of boulders that looks like an earthenware statue. It is quite strong in terms of both attack and defense.'',https://images.ygoprodeck.com/images/cards/82818645.jpg
620,Snakeyashi,Normal Monster,EARTH,Plant,4,1000,1200,4,Common,This monster is formed by several serpents that break off to individually attack nearby enemies.,https://images.ygoprodeck.com/images/cards/29802344.jpg
621,Succubus Knight,Normal Monster,DARK,Warrior,5,1650,1300,5,Common,A warrior wizard adept in casting bone-chilling spells.,https://images.ygoprodeck.com/images/cards/55291359.jpg
622,Ill Witch,Normal Monster,LIGHT,Spellcaster,5,1600,1500,5,Common,''This monster blasts enemies with unexpected bursts of wind.'',https://images.ygoprodeck.com/images/cards/81686058.jpg
623,The Thing That Hides in the Mud,Normal Monster,EARTH,Rock,4,1200,1300,4,Common,''This monster melts its way underground to attack enemies from below.'',https://images.ygoprodeck.com/images/cards/18180762.jpg
624,High Tide Gyojin,Normal Monster,WATER,Aqua,4,1650,1300,4,Common,A very agile half-fish warrior known for its relentless attacks.,https://images.ygoprodeck.com/images/cards/54579801.jpg
625,Fairy of the Fountain,Normal Monster,WATER,Aqua,4,1600,1100,4,Common,''This fairy protects a fountain from any who seek to muddy its waters.'',https://images.ygoprodeck.com/images/cards/81563416.jpg
626,Amazon of the Seas,Normal Monster,WATER,Fish,4,1300,1400,4,Common,A mermaid who serves as a herald to the Ocean Lord. She protects the sacred domain of Atlantis.,https://images.ygoprodeck.com/images/cards/17968114.jpg
627,Nekogal #2,Normal Monster,EARTH,Beast-Warrior,6,1900,2000,6,Common,A fast and lethal creature with very dangerous claws.,https://images.ygoprodeck.com/images/cards/43352213.jpg
628,Witch's Apprentice,Effect Monster,DARK,Spellcaster,2,550,500,2,Common,"As long as this card remains face-up on the field, increase the ATK of all DARK monsters by 500 points and decrease the ATK of all LIGHT monsters by 400 points.",https://images.ygoprodeck.com/images/cards/80741828.jpg
629,Armored Rat,Normal Monster,EARTH,Beast,3,950,1100,3,Common,''The fur on this monster rat is tough enough to repel swords.'',https://images.ygoprodeck.com/images/cards/16246527.jpg
630,Ancient Lizard Warrior,Normal Monster,EARTH,Reptile,4,1400,1100,4,Common,"Before the dawn of man, this lizard warrior ruled supreme.",https://images.ygoprodeck.com/images/cards/43230671.jpg
631,Maiden of the Moonlight,Normal Monster,LIGHT,Spellcaster,4,1500,1300,4,Common,A sorcerer blessed by lunar light with powers far beyond mortal comprehension.,https://images.ygoprodeck.com/images/cards/79629370.jpg
